user_id,video_id,video_duration,watch_time,liked,commented,subscribed_after,category,device,watch_time_of_day,recommended,clicked,timestamp,watch_percent
20372,5344,2109,2109.0,0,0,0,Lifestyle,TV,Evening,1,0,2024-08-24 08:27:43,1.0
27591,21519,2275,1019.0,0,0,0,Gaming,TV,Afternoon,1,1,2025-05-08 01:05:03,0.4479120879120879
45289,43251,220,220.0,0,0,1,Gaming,TV,Afternoon,1,0,2025-04-06 04:52:06,1.0
76500,40564,35,35.0,0,0,0,Music,Desktop,Afternoon,0,0,2023-07-24 15:12:13,1.0
51169,12063,3166,464.0,0,0,0,Sports,TV,Afternoon,1,0,2023-02-20 20:49:52,0.14655716993051168
42944,7812,2757,255.0,1,0,0,Lifestyle,Mobile,Evening,0,0,2023-07-17 06:34:47,0.09249183895538629
98849,25168,2981,2112.0,1,0,0,Education,TV,Night,0,0,2024-03-27 23:33:19,0.7084870848708487
34295,1588,150,150.0,0,0,0,Comedy,Desktop,Night,0,1,2024-10-25 21:09:04,1.0
6369,9586,2436,2436.0,0,0,0,Lifestyle,Tablet,Morning,0,0,2025-06-03 13:03:08,1.0
34971,14551,2140,2140.0,0,1,0,Gaming,Desktop,Evening,1,0,2023-08-04 10:05:23,1.0
44114,39342,1225,1225.0,0,1,0,Tech,TV,Night,1,0,2025-06-10 20:49:04,1.0
37534,27614,327,327.0,1,0,0,Education,Mobile,Night,1,0,2023-08-18 07:56:17,1.0
70651,39795,440,440.0,1,1,0,Comedy,TV,Afternoon,0,1,2023-10-22 05:12:35,1.0
6981,15290,2661,2632.0,0,0,0,Gaming,TV,Night,1,1,2023-08-13 23:27:54,0.9891018414130026
78943,9042,410,410.0,1,0,0,Tech,Desktop,Afternoon,1,0,2023-09-16 14:44:40,1.0
46692,46391,1632,1632.0,0,0,0,Gaming,Desktop,Evening,0,0,2024-09-08 22:26:49,1.0
64021,18978,1734,1719.0,0,1,0,Education,Mobile,Evening,0,0,2023-12-22 22:02:47,0.9913494809688581
11550,37018,31,31.0,0,0,0,Gaming,Desktop,Morning,0,0,2025-05-30 12:37:14,1.0
23271,40011,692,38.0,0,0,0,Music,Mobile,Night,0,0,2024-10-03 00:33:05,0.05491329479768786
78259,22618,1214,174.0,0,0,1,Lifestyle,TV,Morning,0,0,2025-06-03 04:57:16,0.14332784184514002
39497,31030,2741,2741.0,1,0,0,Tech,Tablet,Evening,1,0,2023-09-22 22:23:01,1.0
66974,14242,2807,2196.0,0,0,0,Gaming,Tablet,Night,0,1,2023-10-05 19:47:23,0.7823298895618097
78790,13187,45,45.0,1,0,0,Music,TV,Evening,0,0,2024-02-24 18:23:30,1.0
94579,26298,3471,3214.0,0,0,0,Education,Mobile,Evening,0,1,2024-01-05 21:08:03,0.9259579371938923
30917,4179,826,826.0,0,0,0,Music,TV,Morning,0,0,2023-10-16 11:07:31,1.0
23395,33781,3108,2202.0,0,0,0,Education,Tablet,Evening,0,0,2024-04-12 20:06:20,0.7084942084942085
6429,23289,1385,1385.0,1,0,0,Comedy,Mobile,Night,0,0,2023-09-16 01:52:15,1.0
48378,40017,1332,1332.0,0,0,0,Gaming,Mobile,Evening,0,1,2024-05-19 16:28:22,1.0
91586,15559,2901,884.0,1,0,0,Tech,Tablet,Afternoon,0,0,2023-11-18 14:31:13,0.3047225094794898
24998,31292,3535,825.0,1,0,0,Education,Desktop,Morning,1,0,2024-12-08 11:02:13,0.2333804809052334
61426,8347,1616,943.0,0,0,0,Tech,Mobile,Morning,1,0,2025-01-28 07:35:32,0.5835396039603961
81364,43322,3005,324.0,0,0,0,Lifestyle,Desktop,Night,0,0,2024-12-30 23:27:11,0.10782029950083195
85360,37591,2143,1099.0,1,0,0,Sports,Tablet,Afternoon,0,0,2023-05-17 05:43:46,0.512832477834811
61136,6755,2394,761.0,0,0,0,News,Tablet,Evening,1,0,2024-01-22 08:42:41,0.3178780284043442
21981,44634,2899,2899.0,1,0,0,Comedy,Tablet,Night,0,0,2023-09-30 05:54:53,1.0
56173,16897,1739,1739.0,1,0,0,Education,Tablet,Afternoon,1,0,2025-07-20 03:09:48,1.0
75826,14043,359,359.0,0,0,0,Lifestyle,TV,Evening,1,0,2025-07-18 13:33:22,1.0
86939,18631,378,378.0,0,0,0,Comedy,Desktop,Morning,1,0,2024-01-03 12:06:15,1.0
42861,10494,646,399.0,0,0,0,Education,Mobile,Evening,1,0,2025-08-21 15:09:00,0.6176470588235294
92309,3725,552,552.0,0,0,0,Lifestyle,Tablet,Afternoon,0,0,2024-06-17 22:30:30,1.0
30190,25013,773,543.0,0,0,0,Comedy,Mobile,Evening,0,0,2025-08-30 16:27:01,0.702457956015524
95484,35028,342,342.0,1,0,0,Education,Tablet,Night,1,0,2024-05-27 11:19:23,1.0
61878,41369,2495,2495.0,1,0,1,Education,Tablet,Morning,1,0,2025-09-07 21:09:14,1.0
23107,5793,3223,763.0,0,0,0,Music,Desktop,Night,0,0,2025-02-11 12:54:40,0.23673596028544833
56944,1731,1305,1191.0,1,0,0,Lifestyle,Mobile,Morning,0,0,2024-01-01 14:01:45,0.9126436781609195
98583,15510,1933,431.0,0,0,0,Education,Desktop,Night,0,0,2023-02-14 14:01:56,0.22296947749612003
